---
description: Russian female surname, the feminine form of the same surname at the same line as person/male/lastName — so a family keeps one name. Weights match the masculine list.
weighted: true
---
Иванова,1000000
Смирнова,500000
Кузнецова,333333
Попова,250000
Васильева,200000
Петрова,166667
Соколова,142857
Михайлова,125000
Новикова,111111
Фёдорова,100000
Морозова,90909
Волкова,83333
Алексеева,76923
Лебедева,71429
Семёнова,66667
Егорова,62500
Павлова,58824
Козлова,55556
Степанова,52632
Николаева,50000
Орлова,47619
Андреева,45455
Макарова,43478
Никитина,41667
Захарова,40000
Зайцева,38462
Соловьёва,37037
Борисова,35714
Яковлева,34483
Григорьева,33333
Романова,32258
Воробьёва,31250
Сергеева,30303
Кузьмина,29412
Фролова,28571
Александрова,27778
Дмитриева,27027
Королёва,26316
Гусева,25641
Киселёва,25000
Ильина,24390
Максимова,23810
Полякова,23256
Сорокина,22727
Виноградова,22222
Ковалёва,21739
Белова,21277
Медведева,20833
Антонова,20408
Тарасова,20000
Жукова,19608
Баранова,19231
Филиппова,18868
Комарова,18519
Давыдова,18182
Беляева,17857
Герасимова,17544
Богданова,17241
Осипова,16949
Сидорова,16667
Матвеева,16393
Титова,16129
Маркова,15873
Миронова,15625
Крылова,15385
Куликова,15152
Карпова,14925
Власова,14706
Мельникова,14493
Денисова,14286
Гаврилова,14085
Тихонова,13889
Казакова,13699
Афанасьева,13514
Данилова,13333
Савельева,13158
Тимофеева,12987
Фомина,12821
Чернова,12658
Абрамова,12500
Мартынова,12346
Ефимова,12195
Федотова,12048
Щербакова,11905
Назарова,11765
Калинина,11628
Исаева,11494
Чернышёва,11364
Быкова,11236
Маслова,11111
Родионова,10989
Коновалова,10870
Лазарева,10753
Воронина,10638
Климова,10526
Филатова,10417
Пономарёва,10309
Голубева,10204
Кудрявцева,10101
Прохорова,10000
Наумова,9901
Потапова,9804
Журавлёва,9709
Овчинникова,9615
Трофимова,9524
Леонова,9434
Соболева,9346
Ермакова,9259
Колесникова,9174
Гончарова,9091
Емельянова,9009
Никифорова,8929
Грачёва,8850
Логинова,8772
Сафонова,8696
Копылова,8621
Бурова,8547
Зуева,8475
Тетерина,8403
Соколовская,8333
Панова,8264
Горшкова,8197
Аникина,8130
Дементьева,8065
Кириллова,8000
Мясникова,7937
Шестакова,7874
Ситникова,7813
Плотникова,7752
Одинцова,7692
Кулагина,7634
Астахова,7576
Игнатьева,7519
Блинова,7463
Терентьева,7407
Крючкова,7353
Лукина,7299
Аксёнова,7246
Панкратова,7194
Шашкова,7143
Селезнёва,7092
Латышева,7042
Кожевникова,6993
Носкова,6944
Кононова,6897
Устинова,6849
Шубина,6803
Дьякова,6757
Рыбакова,6711
Суханова,6667
Ушакова,6623
Кулешова,6579
Курочкина,6536
Панфилова,6494
Черкасова,6452
Меркушева,6410
Лаптева,6369
Горбунова,6329
Костина,6289
Кудряшова,6250
Селиванова,6211
Терехова,6173
Ларина,6135
Юдина,6098
Фадеева,6061
Мамонтова,6024
Симонова,5988
Гуляева,5952
Хохлова,5917
Зимина,5882
Пахомова,5848
Шилова,5814
Короткова,5780
Носова,5747
Панина,5714
Ефремова,5682
Дроздова,5650
Игнатова,5618
Савина,5587
Логвинова,5556
Рожкова,5525
Каширина,5495
Уварова,5464
Токарева,5435
Ершова,5405
Кабанова,5376
Никулина,5348
Митрофанова,5319
